DriverCode,Experience,Racecraft,Awareness,Pace,GameRating,M22,S22,J22,D23,B23,M23,Br24,C24,A25,B25,Br25,DeltaRating,RainRating
PIA,74,94,84,93,84.35,,,,1,-4,-1,0,1,7,-1,0,62.83783784,75.74513514
NOR,82,91,77,94,83.85,1,-2,-1,5,0,-1,5,-1,0,1,-2,62.40786241,75.27314496
VER,87,93,75,96,85.35,-1,-1,0,0,-7,0,-16,-1,-1,0,4,76.16707617,81.67683047
RUS,82,93,90,91,88.35,-1,-6,-1,14,,-3,2,2,-1,-1,6,58.91891892,76.57756757
LEC,82,91,92,91,88.65,3,1,1,10,2,0,-1,,1,0,8,51.35135135,73.73054054
HAM,98,92,95,88,94.25,0,6,-1,-7,-2,-1,-4,-3,2,-13,-1,76.65847666,87.21339066
ANT,64,80,76,78,73.5,,,,,,,,,-12,4,,86.48648649,78.69459459
ALB,82,86,80,85,82.55,2,-1,,4,-3,1,,,-1,1,-5,66.21621622,76.01648649
HUL,87,87,91,83,87.8,,,,-2,,-1,,-8,-10,-2,-16,100,92.68
OCO,82,84,87,82,84.15,2,-1,-1,-6,-5,0,-2,-8,,4,-1,74.59459459,80.32783784
HAD,65,79,79,78,74.65,,,,,,,,,,12,,0,44.79
GAS,82,88,86,84,84.9,-6,3,6,-9,1,0,-10,-6,2,-3,-2,76.65847666,81.60339066
STR,83,77,76,76,78.3,-4,-5,-8,0,1,,,-2,-7,-2,-10,87.08708709,81.81483483
LAW,67,79,71,70,71.25,,,,-6,,,4,,5,-1,,62.16216216,67.61486486
ALO,99,89,85,86,90.15,0,,-1,-3,-1,0,5,0,,3,2,61.86186186,78.83474474
SAI,87,90,85,84,86.45,0,-1,,-1,-2,4,,,,2,-3,65.63706564,78.12482625
TSU,78,76,73,77,75.7,8,5,-2,-2,5,6,4,,7,6,4,42.7027027,62.50108108
BEA,66,79,70,74,71.2,,,,,,,-3,,5,-1,-7,72.97297297,71.90918919
BOR,63,75,78,74,72.3,,,,,,,,,,-1,,70.27027027,71.48810811
COL,58,67,66,69,64.25,,,,,,,,,,4,,43.24324324,55.8472973
